,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
132,,2818.20,-,"Aluminium oxide, other than artificial
corundum",kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
133,,2818.30,-,Aluminium hydroxide,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
134,,,,,,,,,,,,,,,,,,,,,,,,,
135,HS Hdg,HS Code,,Description,Unit,"ICL/
SLSI",Preferential Duty,,,,,,,,,,"Gen
Duty",VAT,PAL,,Cess,,"Excise
(S.P.D)",SSCL,"S
C
L"
136,,,,,,,AP,AD,BN,GT,IN,PK,SA,SF,SD,SG,,,Gen,SG,GEN,SG,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,
138,28.19,,,Chromium oxides and hydroxides.,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,
140,,2819.10,-,Chromium trioxide,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
141,,2819.90,-,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
142,,,,,,,,,,,,,,,,,,,,,,,,,
143,28.20,,,Manganese oxides.,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,
145,,2820.10,-,Manganese dioxide,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
146,,2820.90,-,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
147,,,,,,,,,,,,,,,,,,,,,,,,,
148,28.21,,,"Iron oxides and hydroxides; earth
colours containing 70% or more by
weight of combined iron evaluated as
Fe O.
2 3",,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,
150,,2821.10,-,Iron oxides and hydroxides,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
151,,2821.20,-,Earth colours,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
152,,,,,,,,,,,,,,,,,,,,,,,,,
153,28.22,,,"Cobalt oxides and hydroxides;
commercial cobalt oxides.",kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
154,,,,,,,,,,,,,,,,,,,,,,,,,
155,28.23,,,Titanium oxides.,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
156,,,,,,,,,,,,,,,,,,,,,,,,,
