HSCode,SCCode
8429.40.00N,SC149
8429.51.00N,SC028
8429.52.00N,SC028
8429.59.00N,SC028
8430.61.00N,SC152
8430.69.00N,SC152
8431.10.00N,SC152
8431.20.00N,SC152
8431.39.00N,SC152
8431.41.00N,SC152
8431.43.00N,SC152
8431.49.00N,SC153
8432.10.00N,SC000
8432.21.00N,SC000
8432.29.00N,SC000
8432.31.00N,SC000
8432.41.00N,SC000
8432.42.00N,SC000
8432.80.90N,SC000
8432.90.90N,SC149
8433.11.00N,SC192
8433.19.00N,SC163
8433.40.00N,SC000
8433.51.00N,SC000
8433.52.00N,SC000
8433.59.00N,SC149
8433.90.10N,SC000
8433.90.90N,SC149
8434.10.00N,SC000
8434.90.00N,SC000
8436.10.00N,SC000
8436.29.00N,SC149
8436.80.00N,SC000
8437.80.00N,SC000
8438.20.00N,SC152
8438.60.00N,SC000
8441.40.00N,SC152
8443.32.10N,SC152
8443.32.40N,SC028
8443.32.90N,SC152
8443.39.30N,SC152
8443.39.90N,SC152
8443.99.10N,SC152
8443.99.20N,SC152
8443.99.30N,SC028
8443.99.90N,SC153
8450.11.31N,SC427
8450.11.32N,SC428
8450.11.33N,SC431
8450.11.34N,SC432
8450.11.39N,SC420
8450.11.43N,SC433
8450.90.00N,SC000
8459.29.00N,SC152
8459.39.00N,SC150
8460.39.00N,SC152
8461.50.00N,SC152
8461.90.00N,SC152
8462.49.00N,SC152
8463.10.00N,SC152
8465.91.00N,SC152
8465.93.00N,SC152
8465.99.00N,SC152
8466.10.00N,SC152
8466.92.00N,SC152
8466.93.00N,SC152
8466.94.00N,SC152
8467.19.00N,SC152
8467.21.00N,SC152
8467.22.00N,SC152
8467.29.00N,SC152
8467.81.00N,SC152
8467.89.00N,SC152
8467.91.00N,SC152
8467.99.00N,SC152
8468.20.00N,SC152
8468.80.00N,SC152
8468.90.00N,SC152
8470.50.00N,SC152
8471.41.90N,SC149
8472.90.00N,SC000
8472.90.90N,SC150
8473.21.00N,SC152
8473.29.00N,SC152
8473.30.90N,SC149
8473.40.00N,SC000
8474.90.00N,SC149
8479.60.00N,SC152
8479.82.00N,SC152
8479.89.30N,SC149
8479.89.90N,SC152
8479.90.00N,SC152
8481.10.00N,SC000
8481.10.90N,SC152
8481.20.00N,SC152
8481.30.00N,SC152
8481.40.00N,SC152
8481.80.60N,SC152
8481.80.90N,SC153
8481.90.90N,SC152
8482.10.00N,SC152
8482.20.00N,SC152
8482.30.00N,SC152
8482.40.00N,SC152
8482.50.00N,SC152
8482.80.00N,SC152
8482.91.00N,SC152
8482.99.00N,SC152
8483.10.00N,SC153
8483.20.00N,SC153
8483.30.00N,SC153
8483.40.00N,SC153
8483.50.00N,SC152
8483.60.00N,SC152
8483.90.00N,SC152
8484.10.00N,SC152
8484.20.00N,SC152
8487.10.00N,SC152
8487.90.00N,SC152
8501.10.10N,SC152
8501.10.90N,SC152
8501.32.00N,SC152
8501.40.10N,SC165
8501.40.20N,SC344
8501.40.90N,SC152
8501.51.10N,SC165
8501.52.10N,SC000
8501.52.90N,SC152
8501.61.90N,SC150
8502.11.00N,SC154
8502.12.00N,SC154
8502.13.00N,SC154
8502.20.00N,SC152
8503.00.10N,SC163
8503.00.20N,SC149
8503.00.90N,SC149
8504.31.90N,SC193
8504.40.20N,SC151
8504.40.90N,SC151
8504.50.90N,SC451
8505.11.00N,SC152
8505.20.00N,SC152
8505.90.00N,SC152
8506.10.90N,SC165
8506.50.00N,SC189
8507.10.10N,SC336
8507.10.90N,SC308
8507.20.00N,SC000
8507.20.10N,SC152
8507.20.90N,SC189
8507.30.00N,SC000
8507.30.90N,SC149
8507.40.00N,SC000
8507.40.90N,SC149
8507.50.00N,SC000
8507.50.90N,SC193
8507.60.00N,SC000
8507.60.90N,SC193
8507.80.90N,SC193
8507.90.00N,SC196
8508.11.00N,SC402
8508.19.00N,SC154
8508.60.00N,SC152
8508.70.00N,SC154
8509.40.00N,SC421
8509.80.00N,SC154
8509.90.00N,SC154
8510.10.00N,SC165
8510.20.00N,SC403
8510.30.00N,SC167
8510.90.00N,SC154
8511.10.00N,SC154
8511.20.00N,SC161
8511.30.00N,SC161
8511.40.00N,SC161
8511.50.00N,SC161
8511.80.00N,SC161
8511.90.00N,SC161
8512.20.00N,SC197
8512.30.00N,SC161
8512.40.00N,SC161
8512.90.00N,SC161
8513.10.00N,SC000
8513.10.10N,SC000
8513.10.90N,SC400
8513.90.00N,SC154
8514.10.00N,SC152
8514.90.00N,SC152
8515.11.00N,SC152
8515.21.00N,SC152
8515.29.00N,SC152
8515.39.00N,SC152
8515.90.00N,SC152
8516.31.00N,SC152
8516.32.00N,SC152
8516.40.00N,SC401
8516.50.00N,SC402
8516.60.10N,SC402
8516.60.90N,SC415
8516.71.00N,SC152
8516.72.00N,SC401
8516.79.10N,SC152
8516.79.20N,SC402
8516.79.90N,SC152
8516.80.00N,SC402
8516.90.10N,SC152
8516.90.90N,SC165
8518.10.00N,SC161
8518.29.00N,SC167
8518.30.00N,SC154
8518.90.00N,SC161
8521.90.00N,SC154
8522.10.00N,SC150
8522.90.00N,SC154
8523.59.90N,SC154
8523.80.00N,SC154
8527.12.00N,SC150
8527.13.00N,SC152
8527.19.00N,SC448
8527.21.00N,SC149
8527.29.00N,SC149
8527.91.00N,SC401
8528.59.90N,SC405
8528.69.00N,SC152
8528.72.41N,SC149
8528.72.49N,SC165
8528.72.91N,SC401
8528.72.99N,SC408
8529.10.90N,SC161
8529.90.00N,SC404
8530.80.00N,SC189
8531.20.00N,SC189
8531.80.90N,SC189
8532.25.90N,SC152
8532.29.90N,SC152
8532.30.90N,SC152
8533.21.00N,SC150
8533.39.00N,SC150
8533.40.00N,SC152
8535.10.00N,SC385
8535.29.00N,SC377
8535.30.00N,SC331
8535.40.00N,SC333
8536.10.00N,SC154
8536.20.00N,SC330
8536.41.00N,SC154
8536.49.00N,SC154
8536.50.20N,SC154
8536.50.90N,SC332
8536.61.90N,SC170
8536.70.00N,SC161
8536.90.10N,SC154
8536.90.90N,SC167
8537.10.00N,SC167
8538.10.00N,SC170
8538.90.00N,SC154
8539.21.00N,SC000
8539.29.00N,SC000
8539.31.10N,SC402
8539.31.20N,SC000
8539.31.90N,SC189
8539.49.00N,SC413
8539.50.00N,SC401
8540.71.00N,SC152
8541.10.00N,SC150
8541.29.00N,SC152
8541.30.00N,SC152
8541.40.00N,SC000
8541.50.00N,SC150
8541.60.00N,SC150
8541.90.00N,SC150
8542.39.00N,SC152
8543.70.90N,SC000
8544.30.00N,SC161
8544.42.10N,SC167
8544.42.91N,SC170
8544.42.99N,SC170
8544.49.10N,SC170
8545.19.90N,SC150
8545.20.00N,SC152
8701.10.90N,SC151
8701.30.10N,SC154
8701.92.10N,SC151
8701.93.10N,SC151
8701.94.10N,SC151
8703.90.11N,SC309
8704.10.00N,SC151
8704.22.61N,SC306
8704.31.22N,SC307
8705.10.10N,SC151
8705.40.10N,SC151
8708.10.00N,SC167
8708.29.90N,SC170
8708.30.00N,SC170
8708.40.00N,SC170
8708.50.00N,SC170
8708.70.20N,SC170
8708.70.90N,SC170
8708.91.10N,SC338
8708.91.20N,SC368
8708.91.90N,SC210
8708.92.00N,SC170
8708.93.00N,SC170
8708.94.00N,SC170
8708.99.90N,SC170
8716.20.10N,SC167
8716.40.10N,SC169
8716.80.20N,SC170
8716.80.30N,SC167
8716.90.10N,SC170
8903.91.00N,SC153
8903.99.90N,SC170
9002.90.00N,SC192
9004.90.00N,SC000
9013.80.00N,SC151
9014.10.00N,SC151
9015.30.00N,SC151
9015.80.00N,SC151
9015.90.00N,SC151
9017.20.30N,SC449
9017.30.00N,SC000
9017.80.00N,SC151
9018.31.00N,SC151
9018.32.00N,SC151
9018.90.00N,SC151
9019.10.00N,SC151
9024.10.00N,SC151
9025.19.00N,SC151
9026.10.00N,SC151
9026.20.00N,SC151
9026.80.00N,SC151
9026.90.00N,SC151
9027.80.00N,SC151
9029.10.90N,SC151
9029.20.00N,SC149
9029.90.00N,SC151
9030.31.00N,SC149
9030.32.00N,SC151
9030.33.00N,SC149
9030.39.00N,SC149
9030.90.00N,SC151
9031.10.00N,SC151
9031.49.00N,SC151
9031.80.00N,SC000
9032.10.00N,SC149
9032.89.90N,SC151
9032.90.00N,SC149
9033.00.00N,SC149
9107.00.00N,SC170
9401.20.90N,SC411
9403.20.90N,SC418
9403.30.90N,SC450
9403.90.90N,SC419
9405.20.10N,SC434
9405.40.20N,SC407
9405.40.90N,SC410
9405.99.90N,SC410
9503.00.90N,SC447
9505.90.00N,SC408
9506.29.90N,SC151
9506.62.00N,SC151
9506.91.00N,SC151
9506.99.00N,SC151
9603.40.00N,SC322
9603.50.00N,SC154
9603.90.90N,SC356
9604.00.00N,SC170
9605.00.00N,SC170
9608.10.10N,SC317
9608.10.90N,SC317
9612.10.00N,SC167
9617.00.90N,SC167
